Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	Y:\MS-data\2025\Jesus\dox\A1_20250325224911.mzML	Y:\MS-data\2025\Jesus\dox\A2.mzML	Y:\MS-data\2025\Jesus\dox\A3.mzML	Y:\MS-data\2025\Jesus\dox\A4.mzML	Y:\MS-data\2025\Jesus\dox\A5.mzML	Y:\MS-data\2025\Jesus\dox\B1.mzML	Y:\MS-data\2025\Jesus\dox\B2.mzML	Y:\MS-data\2025\Jesus\dox\B3.mzML	Y:\MS-data\2025\Jesus\dox\B4.mzML	Y:\MS-data\2025\Jesus\dox\B5.mzML	Y:\MS-data\2025\Jesus\dox\C1.mzML	Y:\MS-data\2025\Jesus\dox\C2.mzML	Y:\MS-data\2025\Jesus\dox\C3.mzML	Y:\MS-data\2025\Jesus\dox\C4.mzML	Y:\MS-data\2025\Jesus\dox\C5.mzML	Y:\MS-data\2025\Jesus\dox\D1.mzML	Y:\MS-data\2025\Jesus\dox\D2.mzML	Y:\MS-data\2025\Jesus\dox\D3.mzML	Y:\MS-data\2025\Jesus\dox\D4.mzML	Y:\MS-data\2025\Jesus\dox\D5.mzML	Y:\MS-data\2025\Jesus\dox\E1.mzML	Y:\MS-data\2025\Jesus\dox\E2.mzML	Y:\MS-data\2025\Jesus\dox\E3.mzML	Y:\MS-data\2025\Jesus\dox\E5.mzML	Y:\MS-data\2025\Jesus\dox\F1_20250325184234.mzML	Y:\MS-data\2025\Jesus\dox\F2.mzML	Y:\MS-data\2025\Jesus\dox\F3.mzML	Y:\MS-data\2025\Jesus\dox\F4.mzML	Y:\MS-data\2025\Jesus\dox\F5.mzML	Y:\MS-data\2025\Jesus\dox\G1.mzML	Y:\MS-data\2025\Jesus\dox\G2.mzML	Y:\MS-data\2025\Jesus\dox\G3.mzML	Y:\MS-data\2025\Jesus\dox\G4.mzML	Y:\MS-data\2025\Jesus\dox\G5.mzML	Y:\MS-data\2025\Jesus\dox\H1.mzML	Y:\MS-data\2025\Jesus\dox\H2.mzML	Y:\MS-data\2025\Jesus\dox\H3.mzML	Y:\MS-data\2025\Jesus\dox\H4.mzML	Y:\MS-data\2025\Jesus\dox\H5.mzML
A5PKW4	PSD1_HUMAN	PSD	PH and SEC7 domain-containing protein 1	26	26	1.39514e+06	1.60056e+06	850542	999998	2.07503e+06	1.83277e+06	1.96035e+06	2.18364e+06	1.73654e+06	1.18916e+06	2.19424e+06	1.57433e+06	2.02557e+06		1.85751e+06	2.14304e+06	1.94403e+06	2.08594e+06	2.37333e+06	2.26834e+06	3.1615e+06	3.34267e+06	2.94843e+06	2.44356e+06	3.05646e+06	3.27442e+06	2.99334e+06	5.79436e+06	2.72049e+06	3.24265e+06	3.13583e+06	3.12066e+06	3.34145e+06	3.01932e+06	3.18419e+06	3.2262e+06	3.06339e+06	2.49866e+06	3.16496e+06
A5PLL7	PDES1_HUMAN	PEDS1	Plasmanylethanolamine desaturase 1	1	1	150456	186041	168604	217715	287296		154912		145142		143953		106649			236331	220460	77661.8	333686		260480	163451			139559	174437	186048			251150	301734	11771.2	332029	217578	143514	229663	162904	310239	194457
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	7	7	1.7681e+06	2.4067e+06	1.60852e+06	2.41211e+06	2.34299e+06	2.28081e+06	2.43955e+06	2.13402e+06	2.1798e+06	2.26467e+06	2.16034e+06	2.26448e+06	2.58303e+06		2.0223e+06	2.53261e+06	2.23902e+06	2.14899e+06	2.27915e+06	2.32548e+06	2.65081e+06	2.59177e+06	2.32155e+06	2.44514e+06	2.75628e+06	2.38701e+06	3.00875e+06	4.2515e+06	2.52943e+06	2.36754e+06	2.36047e+06	2.07166e+06	2.49739e+06	2.50269e+06	2.35825e+06	2.32526e+06	2.77863e+06	2.05482e+06	3.07413e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	85	85	7.10239e+06	6.77646e+06	6.44106e+06	6.82866e+06	6.55202e+06	6.86327e+06	6.8621e+06	6.43366e+06	7.12135e+06	6.89093e+06	6.86707e+06	7.09033e+06	6.8785e+06	5.83051e+06	6.99077e+06	6.40618e+06	6.43462e+06	6.56138e+06	6.51448e+06	6.23546e+06	6.00153e+06	6.25256e+06	6.22161e+06	6.22796e+06	5.92831e+06	6.19347e+06	5.91253e+06	5.82869e+06	5.02212e+06	5.74288e+06	5.66977e+06	5.81511e+06	6.19306e+06	5.28526e+06	5.99346e+06	5.72271e+06	6.24133e+06	5.27748e+06	6.13246e+06
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1	0	8.7523e+06	1.45817e+07	1.64032e+07	5.60748e+06	4.17497e+07	3.32537e+07	4.79332e+07	3.64785e+07	4.0844e+07	3.3459e+07	2.31765e+07	3.07748e+07	3.54552e+07	5.29749e+07	4.6143e+07	3.20057e+07	4.16188e+07	4.93026e+07	1.85146e+07	1.19941e+07	3.47537e+07	5.22587e+07	2.02464e+07	2.43678e+07	3.46223e+07	4.21133e+07	3.33948e+07	1.77141e+07	1.00129e+07	3.83279e+07	5.76648e+07	2.30571e+07	1.99447e+07	2.90675e+07	2.89443e+07	3.10154e+07	2.91512e+07	1.77132e+07	1.87183e+07
A6NCS6	CB072_HUMAN	C2orf72	Uncharacterized protein C2orf72	5	5	282674	314178	185721	231472	427434	303560	288300	354561	377628	203560	250107	229000	364094		305146	355701	215707	265641	258594	333072	201112	213667	233381	176918	161856	219580	204640	398990	173762	186845	187701	158999	178799	242039	216792	165974	212600	177668	284835
A6NDB9	PALM3_HUMAN	PALM3	Paralemmin-3	26	26	808476	1.328e+06	336570	502935	1.41868e+06	1.33347e+06	1.30233e+06	1.10182e+06	1.06129e+06	870814	1.25119e+06	1.06748e+06	1.45171e+06	888378	1.30154e+06	1.63335e+06	1.57279e+06	1.46982e+06	1.52546e+06	1.72337e+06	2.76788e+06	2.74108e+06	2.42447e+06	2.93298e+06	2.49588e+06	2.40881e+06	2.10766e+06	4.82215e+06	2.7217e+06	2.81105e+06	2.36953e+06	2.34773e+06	2.28616e+06	2.47523e+06	2.89642e+06	2.69866e+06	3.28267e+06	3.53383e+06	2.81532e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	13	13	3.10966e+06	3.21243e+06	2.72852e+06	2.97695e+06	3.97424e+06	4.12265e+06	4.37361e+06	3.51223e+06	4.03618e+06	4.04659e+06	3.1609e+06	3.51623e+06	3.85045e+06	4.23901e+06	4.04672e+06	3.81974e+06	4.18942e+06	4.23533e+06	3.30498e+06	3.44981e+06	3.85944e+06	3.64684e+06	2.91208e+06	3.26852e+06	3.45903e+06	3.18985e+06	3.03094e+06	6.45923e+06	4.23422e+06	3.28978e+06	3.5651e+06	2.69968e+06	3.20303e+06	3.50934e+06	3.25883e+06	3.60988e+06	3.47843e+06	3.74034e+06	3.74019e+06
A6NDR6;Q99687	ME3L1_HUMAN;MEIS3_HUMAN	MEIS3;MEIS3P1	Putative homeobox protein Meis3-like 1	1	0		257118						603786																	229472	305206								323187					
A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	7	7	738689	937661	725427	842393	827971	1.04586e+06	1.1258e+06	830316	1.18681e+06	1.05688e+06	950358	959394	1.01895e+06		1.13953e+06	947615	1.11226e+06	958550	1.02785e+06	1.06161e+06	857938	924266	874991	943200	956799	858656	806824	924636	1.25397e+06	896168	850309	921749	775029	927135	911868	880137	981706	888765	957804
A6NE02	BTBDH_HUMAN	BTBD17	BTB/POZ domain-containing protein 17	5	5	49681.5	83701.1	76034.1	121759	87008.9	84221.4	75750.6	79933.8	99665.4	47876.6	63954.5	75132.9	76202.1		67407.6	69470.2	99819.8	82940.9	72974	89803	95357.1	95120.6	110974	106961	99484.1	57347.1	73490	1.33078e+06	73226.9	106306	104095	106318	141280	155915	82674.4	67283.7	73617.5	170796	98080.4
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	5	5	299143	238144	163198	291192	254749	228622	279155	238568	272013	287777	264849	270790	240745		264543	277489	193002	222727	168699	222487	109967	202533	209187	214216	198246	173018	145761		173397	182543	176260	167983	106368	136352	225950	228332	182766		220467
A6NEE1	PLHD1_HUMAN	PLEKHD1	Pleckstrin homology domain-containing family D member 1	4	4	60793.1				56683.7	71560.6	59011.7	72977.5	61518.2	85587.8		66117.4			66606.9	84322.9		56779.9	73141.6		96042	171604	172204	190323	142437	173341	157372		143647	163834	128744	136080	235381	149666	156590	134947	152681	152271	94049.5
A6NF01	P121B_HUMAN	POM121B	Putative nuclear envelope pore membrane protein POM 121B	1	1									12046.4	21208.8	8432.65	10274.3			14766.1	8891.04		12909.8					28772.9			9126.57					16869.7					16862.7			7467.08
A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	14	14	728611	865264	723412	762897	826971	902293	822120	817421	824480	759811	934604	911678	904830		893939	861776	758726	804842	747080	872908	737339	847320	739291	756959	699770	744411	726813		520132	797477	684217	681279	711782	663113	875287	700104	804319	576106	810893
A6NFN3	RFOX3_HUMAN	RBFOX3	RNA binding protein fox-1 homolog 3	2	2	8980.1	7196.58	8366.25		20912.4	19332.4	16864.1	24199.4	23266.7	9647.63	24800.8	11415.4	20334		15977.3	11272.4	16838.6	21249.8	15341.7	15502.7	16198.6	16017.8	27106.6	19007.8	25732.4	20542.3	31679.1			26783.5	25236.4	14274	25171.3	10179.1	22769.5	32217.7	20465.6	20279.9	16368.1
A6NFY7	SDHF1_HUMAN	SDHAF1	Succinate dehydrogenase assembly factor 1, mitochondrial	2	2	115594		131362		258488	258822	171929	263107	230065	205121	208822	164736	161869		243182	234154	196261	209679	187513	218255	326598	332319	222273	316727	397972	330336	317575			417724	365443	296652	334255	299168	383794	491393	356549	500246	419984
A6NGB9	WIPF3_HUMAN	WIPF3	WAS/WASL-interacting protein family member 3	8	8	297636	385405	228684	303219	532319	467479	495053	522607	396910	266030	558326	405543	614529		517737	582571	510870	563516	618634	717404	648066	919013	579278	719026	619884	654080	372854	1.01463e+06	660238	670608	653134	600497	515471	398256	804051	524260	749540	596664	536285
A6NGN9	IGLO5_HUMAN	IGLON5	IgLON family member 5	5	5	2.01313e+06	2.24217e+06	1.33088e+06	2.04048e+06	2.95773e+06	2.19952e+06	2.75589e+06	2.00252e+06	1.96496e+06	1.86018e+06	2.5994e+06	2.01137e+06	1.90611e+06	2.99728e+06	2.11359e+06	2.60036e+06	2.42878e+06	2.88943e+06	2.42588e+06	2.56632e+06	3.69406e+06	3.26927e+06	3.50119e+06	3.62649e+06	3.73976e+06	3.42008e+06	3.4353e+06	2.84353e+07	8.15237e+06	3.67158e+06	3.43645e+06	3.05422e+06	3.87616e+06	4.48599e+06	3.85544e+06	3.46606e+06	3.76858e+06	5.58913e+06	3.60642e+06
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	3.74291e+07	6.45893e+07	3.95849e+07	7.81462e+06	8.27247e+07	8.93686e+07	7.65676e+07	7.44969e+07	7.16764e+07	4.53973e+07	7.80156e+07	7.48535e+07	9.14989e+07	1.82045e+08	8.00288e+07	7.53446e+07	9.54905e+07	7.4315e+07	8.06069e+07	9.24214e+07	9.63022e+07	1.00748e+08	8.38116e+07	8.13245e+07	1.35095e+08	1.41892e+08	1.40741e+08	4.36494e+07	8.93056e+07	1.36711e+08	1.16111e+08	1.26002e+08	1.36785e+08	1.26757e+08	8.77452e+07	1.09674e+08	1.23749e+08	8.00126e+07	5.8695e+07
A6NHQ2	FBLL1_HUMAN	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1	11	11	8.62419e+06	1.07053e+07	5.0147e+06	7.66188e+06	1.45171e+07	1.10267e+07	1.13265e+07	1.31447e+07	1.17856e+07	9.5624e+06	1.18917e+07	1.04813e+07	1.26948e+07	1.01201e+07	1.21254e+07	1.06761e+07	1.07835e+07	1.01579e+07	1.40447e+07	1.13585e+07	1.61584e+07	1.85416e+07	1.83472e+07	1.9581e+07	1.6884e+07	1.52524e+07	1.43385e+07	3.21102e+06	4.9765e+06	1.54014e+07	1.6381e+07	1.73633e+07	1.85807e+07	1.40998e+07	1.69798e+07	1.50837e+07	1.68444e+07	1.6083e+07	1.69367e+07
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	77	77	2.16962e+06	2.02229e+06	2.16206e+06	2.20124e+06	1.74934e+06	1.84592e+06	1.80615e+06	1.78392e+06	1.89213e+06	2.02399e+06	1.86303e+06	2.1332e+06	1.90913e+06	1.46566e+06	1.97138e+06	1.63171e+06	1.60226e+06	1.58216e+06	1.87534e+06	1.42583e+06	1.34149e+06	1.50958e+06	1.37732e+06	1.39011e+06	1.48705e+06	1.44992e+06	1.26799e+06	957485	985037	1.44995e+06	1.45554e+06	1.34543e+06	1.2733e+06	1.18123e+06	1.50601e+06	1.33023e+06	1.44751e+06	1.13966e+06	1.5824e+06
A6NHX0	CAST2_HUMAN	CASTOR2	Cytosolic arginine sensor for mTORC1 subunit 2	8	8	917036	1.09704e+06	701682	1.0644e+06	1.64965e+06	1.43463e+06	1.47114e+06	1.45095e+06	1.5619e+06	1.06669e+06	1.49745e+06	1.33383e+06	1.47557e+06		1.35094e+06	1.65377e+06	1.91224e+06	1.55202e+06	1.20051e+06	1.5964e+06	1.6989e+06	1.43595e+06	1.37224e+06	1.61274e+06	1.53741e+06	1.47395e+06	1.51997e+06	1.84805e+06	1.65744e+06	1.54316e+06	1.59343e+06	1.46915e+06	1.51647e+06	1.49417e+06	1.51471e+06	1.23373e+06	1.49524e+06	1.74486e+06	1.49572e+06
A6NI28	RHG42_HUMAN	ARHGAP42	Rho GTPase-activating protein 42	1	1	22861.4	22671.4	22300.9	65947.5	15513	14496.7	9480.38	9090.13	14764.8	21086	20021.3	13828.4	15767.2		18107.4	19660.5	14767.6		29297.2	19842.7																			11330
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	5	5	1.7642e+06	1.20522e+06	1.46302e+06	1.31619e+06	1.08899e+06	1.30215e+06	1.14434e+06	1.14911e+06	1.35418e+06	1.5469e+06	1.13854e+06	1.34625e+06	1.13496e+06		1.17543e+06	1.29027e+06	1.18763e+06	1.19688e+06	1.01244e+06	1.0284e+06	685317	615069	660000	630709	771863	644105	668665	507021	480018	617198	583968	608321	572607	528712	640810	512591	604282	712753	706265
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	7	6	381662	418245	336844	300476	364948	387785	435001	373719	313856	444887	426419	446702	315318		411294	449193	330817	414723	415965	386090	518573	549540	521842	463128	563239	587156	546443		462104	629898	595205	521002	773640	465783	589499	629547	598121	710454	535974
A6NK58	LIPT2_HUMAN	LIPT2	Octanoyl-[acyl-carrier-protein]:protein N-octanoyltransferase LIPT2, mitochondrial	1	1					3963.4		5207.58	9263.09	8167.98	9629.06			9221.12		6463.32	7657.01		3860.39	4601.98	7541.26		4868.93	15060.9		10304.3	4290.58	10308.4			10377.5			6297.1	9085	6503.33	9754.33	10766.6	12928.2	13749.1
A6NKD9	CC85C_HUMAN	CCDC85C	Coiled-coil domain-containing protein 85C	12	12	1.11465e+06	1.2482e+06	1.42062e+06	1.55963e+06	982393	984126	1.04368e+06	1.05126e+06	1.28481e+06	1.5789e+06	989903	1.34261e+06	1.16468e+06		1.34482e+06	880587	835045	880183	988917	881561	478799	448632	394810	570334	377799	473767	413720	780158	350623	410763	401164	418689	345448	314980	399237	349824	437320	426633	418353
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	8	8	1.29695e+06	1.42827e+06	1.72162e+06	2.13851e+06	1.98263e+06	1.60298e+06	1.89469e+06	1.72796e+06	1.92406e+06	2.14102e+06	1.77092e+06	1.95586e+06	1.61882e+06		2.02684e+06	1.63027e+06	1.74868e+06	1.9167e+06	1.61274e+06	1.14335e+06	1.4643e+06	1.9093e+06	1.59733e+06	1.30711e+06	1.84758e+06	1.61081e+06	1.67934e+06	1.76563e+06	1.2886e+06	1.4812e+06	1.55951e+06	1.54656e+06	1.71908e+06	1.72341e+06	1.54331e+06	1.67286e+06	1.80178e+06	1.24554e+06	1.58985e+06
A6NKL6	T200C_HUMAN	TMEM200C	Transmembrane protein 200C	1	1											19930.5	21191.6			8578.79						15105.5	15618.2																	
A6NKN8	PC4L1_HUMAN	PCP4L1	Purkinje cell protein 4-like protein 1	3	3	2.04192e+06	2.20711e+06	1.45312e+06	2.55746e+06	3.44133e+06	3.81713e+06	3.0226e+06	3.34037e+06	3.71559e+06	2.30117e+06	3.70277e+06	3.22605e+06	4.23202e+06	3.82218e+06	4.0214e+06	3.39611e+06	2.97068e+06	3.09558e+06	2.47891e+06	3.55795e+06	739120	741728	936376	1.40379e+06	591232	690854	650558	699342	456785	543170	495747	416230	631931	650941	386965	455185	553332	777968	834199
A6NKT7	RGPD3_HUMAN	RGPD3	RanBP2-like and GRIP domain-containing protein 3	1	0	1.94082e+06	2.30016e+06	2.52418e+06	2.40618e+06		2.11045e+06			1.77756e+06		1.93754e+06	2.61578e+06	1.49561e+06									1.73255e+06	1.5334e+06		1.60924e+06	1.53757e+06			717665	1.33642e+06	1.19264e+06	1.41876e+06			1.29089e+06	1.07212e+06	1.74008e+06		1.89492e+06
A6NL88	SHSA7_HUMAN	SHISA7	Protein shisa-7	2	2			12581.6		33009.6	35049.3	28027.7	12963.8			31646.3	17827.9	38999.4		35428.6	28083.7	35192	34102.8		23139.4	43017.4	59139.6	46548.4	30204.5	18716.1	46865.4	35513.9			62244.4	39570.7	69263.4	65621.4	41109.6	35183.5	25368.4	47943	18131.7	22669.6
A6NMB9	FIGL2_HUMAN	FIGNL2	Fidgetin-like protein 2	2	2			5557.71			7637.96	11809				17098.1	5499.13			8331.48	6573.17	10898.8		23390.3		25842.8	16046.3	14630.6			20893.2	16676.6			9646.77	25791.8	16640.6	19255.4	16606.6	19880.3	20788.4	28060.4		
A6NMK8	INY2B_HUMAN	INSYN2B	Protein INSYN2B	1	1			3083.83						4118.44				8229.41		9048.52	11011.3		7624.85																					
A6NNA2	SRRM3_HUMAN	SRRM3	Serine/arginine repetitive matrix protein 3	1	1		309846		317661	394291	428570	355999	362766	270242	457133	525105	577522	453862		373523	439329	327354	743673	403371	427903	390957	596707	347723	836840	345728	224112	613184		394736	270690	251966	416014	375954	339368	295638	1.13372e+06	547286	522024	550536
A6NNA5	DRGX_HUMAN	DRGX	Dorsal root ganglia homeobox protein	4	4	48902.1	70023.4			143608	109577	86704.7	91199.5	61087.9	51584.2	90139	77949.2	92205.2		80120.1	79646.1	120946	99514.9	126371	114311	212152	230408	232334	198301	266416	248574	307617		239830	240575	239910	260468	248116	297402	252375	334406	299194	160840	249055
A6NNE9	MARHB_HUMAN	MARCHF11	E3 ubiquitin-protein ligase MARCHF11	4	4					6955.97	7445.68	6617.69		7052.33							8699.06	11908	13110.6			11157.8	11846.5	14018.7	12633.2	17912.7	8769.97	18336.9	126006	8215	20500.5	19364.2	18051.5	15638.7	18904.7	13015.6	21913.2	14244.5	29900.8	12815.2
A6NNY8	UBP27_HUMAN	USP27X	Ubiquitin carboxyl-terminal hydrolase 27	3	3	32388.2		20948	30421	51625.6	47638.9	46155.5	82175	46689.1	27555.2	48816.9	44959.8	53144.2		59263.3	56967.8	62756.3	74315.5	65149.6	69736.5	44299.7	75542.8	102257	45792.2	34313.5	80849.2	67284.8			64857.6	55156.6	76615.2	81516.6	51759.4	79845.9	64238	82081.2	64786.3	73208.9
A6QL63	ABTB3_HUMAN	ABTB3	Ankyrin repeat and BTB/POZ domain-containing protein 3	8	8	131097	205525	98720.5	111610	193280	213169	195156	200894	188697	137699	180471	187756	196526	197110	197414	216378	202613	228765	219820	208683	170052	246380	222968	154221	139143	153846	212564	241633	163432	192637	166866	189311	172767	150183	153829	179286	172371	245626	213071
A7E2F4;A8MQT2	GOG8A_HUMAN;GOG8B_HUMAN	GOLGA8A;GOLGA8B	Golgin subfamily A member 8A	1	0																								1979.45	9012.84	3403.39	7951.87								9544.05				
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	18	18	945712	732602	888539	825086	983451	953437	989814	907934	960007	938478	876289	1.14144e+06	983598		1.06016e+06	964772	964506	953580	949280	912030	838337	933556	831185	843203	778460	942276	772410	822700	721881	679127	758352	822348	750915	860555	786207	801024	816363	572777	660746
A7KAX9	RHG32_HUMAN	ARHGAP32	Rho GTPase-activating protein 32	37	34	2.91779e+06	3.20832e+06	2.5667e+06	3.30396e+06	3.97508e+06	3.54112e+06	3.31968e+06	3.6283e+06	3.3827e+06	2.82901e+06	3.29862e+06	3.16385e+06	3.91069e+06		3.73932e+06	3.65287e+06	3.36098e+06	3.41158e+06	3.52751e+06	3.98595e+06	3.13821e+06	3.46794e+06	3.43785e+06	3.38117e+06	3.19993e+06	3.02759e+06	2.83274e+06	3.09541e+06	2.33577e+06	2.92727e+06	2.9407e+06	3.00479e+06	3.20829e+06	2.46649e+06	3.27164e+06	2.73026e+06	3.02189e+06	3.12068e+06	3.61397e+06
A7MBM2	DISP2_HUMAN	DISP2	Protein dispatched homolog 2	31	31	1.17865e+06	1.20933e+06	615840	1.03444e+06	2.18954e+06	1.84267e+06	1.88446e+06	1.66488e+06	1.4775e+06	1.11558e+06	1.75539e+06	1.27873e+06	1.50974e+06		1.53198e+06	2.21108e+06	2.35318e+06	2.36027e+06	2.38732e+06	2.23858e+06	3.81392e+06	3.83234e+06	3.75852e+06	3.25745e+06	3.56964e+06	3.76487e+06	3.87264e+06	1.61474e+07	4.27962e+06	3.97257e+06	3.74124e+06	3.28425e+06	4.08329e+06	3.83638e+06	3.54055e+06	4.10967e+06	4.2055e+06	4.73828e+06	3.01229e+06
A7MCY6	TBKB1_HUMAN	TBKBP1	TANK-binding kinase 1-binding protein 1	1	1	2987.55				6652.69	7072.75	2827.88		4139.25			5110.56			6285.56	3814.71	4133.49	10779.2	7511.39			8164.01		9218.44	4641.23	6568.25	4968.02			8822.34	7365.76	11338.8		7639.73	10997.9		5103.45		
A7MD48	SRRM4_HUMAN	SRRM4	Serine/arginine repetitive matrix protein 4	3	3	100773	110094	67987.1		107009	90597	109792	88257.3	126420		115757	59514.4	127422		89658.1	131079	102782	146405	104493	77912.6	100039		104249	73249.3	82311.3	117203	144271			132184	82394.1	135420	103384	98910.6	136200	173132	94152.2		111888
A7XYQ1	SOBP_HUMAN	SOBP	Sine oculis-binding protein homolog	9	9	372100	458666	255575		510889	433312	398007	357196	348423	313021	443153	328130	561022		433153	513436	510549	428158	329524	413265	557385	749338	598254	558512	641529	584497	558818		402984	721335	539431	569434	506256	561815	610411	634871	630970	600119	576431
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	2	2	212904	240026	221686	262846	160480	178105	231310	180560	185698	247665	182823	265966	238732		197656	195042	189730	175751	157517	100531	162838	159611	134270	101685	130347	161135	143792			124469	139235	160312	124416	190917	186548	147819	198081	80845.1	165201
A8K855	EFCB7_HUMAN	EFCAB7	EF-hand calcium-binding domain-containing protein 7	8	8	196171	179277	193188	221097	186811	224070	204474	167127	228323	158268	198069	176315	181202		183107	150603	180745	208310	156861	156424	202248	163633	132005	175174	196995	166793	131130	372368	166829	148118	182330	162600	165427	115742	128869	138754	163188	123841	248142
A8MSI8	LYRM9_HUMAN	LYRM9	LYR motif-containing protein 9	2	2	48686.4	89672.5	66223.2	76935.4	67738.6		66966.6	91967.6	97762.3	58195.5	76190.4	38823.7	55667.1		99890.4	63869.4	89617.7	70166.9	76493	101243		114490	56745.3	78274.6	54551.6	90771.1	60017.4			52632	69456.9	60954.5	56190.4	58520.2	44781.3	51618	57993.9	83469.5	40609.7
A8MTT3	CEBOS_HUMAN	CEBPZOS	Protein CEBPZOS	1	1					69449.2	193002	434006	82011.1		333285		238131			316978						124033	94828.9			375364	176442				97036.4			563586		312376	226954	293460	867963	
A8MU93	CQ100_HUMAN	C17orf100	Uncharacterized protein C17orf100	2	2	321775	444936	288304	293512	443527	438196	421571	467354	371735	344529	341592	416648	465898		377687	454551	379145	316415	402146	345946	337916	269426	305373	359968	247723		260431			282073	280819	316836		280611	398711	275791	333247	283896	384112
A8MVW0	F1712_HUMAN	FAM171A2	Protein FAM171A2	24	23	1.8761e+06	2.31869e+06	1.54123e+06	1.56048e+06	3.30296e+06	2.72484e+06	2.96773e+06	3.00643e+06	2.78936e+06	2.00961e+06	3.15355e+06	2.50757e+06	3.22383e+06	2.32775e+06	2.97912e+06	2.82801e+06	3.11899e+06	3.35446e+06	3.10803e+06	3.32078e+06	3.95951e+06	4.51228e+06	4.12117e+06	4.07936e+06	3.59601e+06	4.22947e+06	3.98117e+06	1.5027e+07	4.2744e+06	4.12067e+06	4.14528e+06	3.94251e+06	4.63666e+06	4.33856e+06	3.91185e+06	3.92615e+06	3.80903e+06	3.67557e+06	3.74298e+06
A8MW92	P20L1_HUMAN	PHF20L1	PHD finger protein 20-like protein 1	9	9	7.96449e+06	7.92552e+06	6.69616e+06	1.01524e+07	8.86907e+06	8.96015e+06	7.3708e+06	1.02272e+07	9.74271e+06	8.03572e+06	7.46393e+06	8.11564e+06	7.59769e+06		8.83298e+06	8.05921e+06	7.12379e+06	7.37141e+06	8.99189e+06	6.97243e+06	4.99507e+06	5.4643e+06	4.99941e+06	5.64862e+06	6.02868e+06	5.70756e+06	5.40692e+06		4.02498e+06	4.6063e+06	3.47434e+06	4.11316e+06	4.44684e+06	4.55126e+06	4.49393e+06	3.46211e+06	4.70486e+06	4.37952e+06	5.79078e+06
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	3	0	1.16787e+07	1.33633e+07	1.46792e+07	1.28373e+07	1.51779e+07	1.61829e+07	1.83879e+07	1.25023e+07	1.60118e+07	1.81275e+07	1.33112e+07	1.13974e+07	1.55257e+07	1.71545e+07	1.71775e+07	1.208e+07	8.67567e+06	1.71648e+07	1.10641e+07	1.05423e+07	1.15107e+07	1.56838e+07	9.28185e+06	1.16787e+07	1.19822e+07	1.2531e+07	1.15766e+07	9.70759e+06	9.38858e+06	1.09042e+07	1.26674e+07	9.66835e+06	9.10118e+06	8.23811e+06	1.11081e+07	1.04982e+07	9.42227e+06	8.85043e+06	1.10345e+07
A8MWY0	ELAP2_HUMAN	ELAPOR2	Endosome/lysosome-associated apoptosis and autophagy regulator family member 2	14	14	1.46479e+06	1.54835e+06	1.04177e+06	1.50206e+06	2.05952e+06	1.85858e+06	1.82685e+06	1.71325e+06	1.45425e+06	1.53516e+06	1.78362e+06	1.38675e+06	1.9036e+06		1.84335e+06	2.10643e+06	2.21015e+06	2.14369e+06	2.28013e+06	2.34039e+06	2.69518e+06	2.38948e+06	2.35805e+06	1.93294e+06	2.65942e+06	2.52389e+06	3.31863e+06	2.37871e+06	2.92476e+06	2.7533e+06	2.31233e+06	2.17278e+06	2.91812e+06	2.51314e+06	2.42727e+06	2.70467e+06	2.7042e+06	3.58591e+06	2.35226e+06
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	9	9	807938	887406	762186	876948	807245	833948	733368	704221	856739	722030	675454	890817	879841	982875	927832	765944	764774	730559	1.02483e+06	855338	626851	734665	776467	521904	611085	749421	780822		938382	641997	722376	716637	821800	774932	610056	790374	752293	762649	735002
